age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,feature_1,feature_2,feature_3,feature_4,feature_5,y
43,admin.,married,university.degree,no,yes,no,cellular,aug,wed,8,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,8.3944,51.8872,vg10,lv1,fn2,no
39,admin.,single,high.school,no,yes,no,telephone,jul,mon,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,3.3894,42.8872,vg8,lv1,fn4,no
47,management,married,professional.course,no,yes,no,cellular,apr,fri,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,3.3884,49.8872,vg10,lv2,fn11,no
57,management,married,university.degree,no,no,no,telephone,jun,fri,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,1.3874,58.8872,vg1,lv1,fn10,no
48,self-employed,married,high.school,no,yes,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,1.3874,49.8872,vg10,lv1,fn12,no
33,admin.,single,high.school,no,yes,no,cellular,apr,wed,2,999,1,failure,-1.8,93.075,-47.1,1.372,5099.1,3.3884,35.8872,vg11,lv2,fn4,yes
51,blue-collar,divorced,basic.4y,no,no,yes,cellular,apr,mon,5,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,5.3914,56.8872,vg5,lv1,fn13,no
31,admin.,single,university.degree,no,no,no,cellular,nov,fri,2,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,3.3884,33.8872,vg11,lv2,fn2,no
29,technician,married,professional.course,no,no,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,1.3874,30.8872,vg7,lv1,fn14,no
49,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,mon,2,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,2.3884,51.8872,vg1,lv1,fn13,no
46,blue-collar,married,basic.4y,no,no,no,telephone,may,thu,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,3.3894,49.8872,vg10,lv1,fn13,no
37,management,single,high.school,no,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,2.3884,39.8872,vg8,lv1,fn15,no
27,admin.,married,high.school,no,no,yes,cellular,nov,mon,7,999,0,nonexistent,-3.4,92.649,-30.1,0.7140000000000001,5017.5,7.3934,34.8872,vg7,lv1,fn4,no
35,student,single,university.degree,unknown,no,no,telephone,may,tue,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,5.3914,40.8872,vg11,lv1,fn16,no
24,admin.,single,university.degree,no,yes,no,cellular,nov,wed,1,9,3,failure,-3.4,92.649,-30.1,0.716,5017.5,114.4975,25.8872,vg2,lv3,fn2,no
31,blue-collar,married,basic.9y,no,no,no,telephone,may,thu,4,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,4.3904,35.8872,vg3,lv1,fn7,no
46,admin.,single,university.degree,no,no,yes,cellular,nov,tue,1,999,1,failure,-1.1,94.767,-50.8,1.046,4963.6,2.3874,47.8872,vg9,lv2,fn2,no
49,blue-collar,married,high.school,unknown,yes,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,1.3874,50.8872,vg1,lv1,fn17,no
25,student,single,professional.course,no,yes,no,cellular,may,wed,2,999,0,nonexistent,-1.8,92.893,-46.2,1.27,5099.1,2.3884,27.8872,vg2,lv1,fn18,no
55,blue-collar,married,basic.4y,no,yes,yes,cellular,aug,thu,4,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,4.3904,59.8872,vg1,lv1,fn13,no
25,technician,single,professional.course,no,yes,no,cellular,may,mon,4,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,4.3904,29.8872,vg2,lv1,fn14,no
46,blue-collar,married,basic.4y,no,yes,no,cellular,aug,mon,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,2.3884,48.8872,vg10,lv1,fn13,yes
34,blue-collar,single,basic.4y,unknown,yes,no,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,1.3874,35.8872,vg11,lv1,fn13,no
24,student,single,high.school,no,no,no,cellular,aug,fri,1,999,0,nonexistent,-2.9,92.201,-31.4,0.8490000000000001,5076.2,1.3874,25.8872,vg2,lv1,fn19,yes
32,admin.,married,high.school,no,yes,no,cellular,jun,wed,1,10,1,success,-2.9,92.963,-40.8,1.26,5076.2,101.3864,33.8872,vg3,lv4,fn4,no
58,entrepreneur,married,university.degree,no,yes,no,telephone,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1.3874,59.8872,vg1,lv1,fn20,no
31,technician,married,university.degree,unknown,no,no,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,2.3884,33.8872,vg3,lv1,fn21,no
55,admin.,married,university.degree,no,yes,no,cellular,apr,thu,3,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,3.3894,58.8872,vg1,lv1,fn2,no
31,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,2.3884,33.8872,vg3,lv1,fn7,no
25,blue-collar,married,basic.9y,no,yes,yes,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,2.3884,27.8872,vg7,lv1,fn7,no
30,blue-collar,single,basic.9y,unknown,yes,yes,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1.3874,31.8872,vg2,lv1,fn7,no
50,admin.,married,high.school,no,no,no,telephone,jun,fri,3,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,3.3894,53.8872,vg1,lv1,fn4,no
25,unemployed,single,high.school,no,no,no,cellular,aug,tue,1,3,3,success,-1.7,94.027,-38.3,0.904,4991.6,336.7197,26.8872,vg2,lv5,fn22,no
54,retired,married,high.school,unknown,no,no,telephone,may,tue,10,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,10.3964,64.8872,vg1,lv1,fn23,no
47,admin.,married,high.school,unknown,no,no,cellular,aug,thu,8,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,8.3944,55.8872,vg10,lv1,fn4,no
51,blue-collar,married,basic.9y,unknown,no,no,telephone,may,fri,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,3.3894,54.8872,vg1,lv1,fn7,no
54,blue-collar,married,basic.9y,no,no,no,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,2.3884,56.8872,vg1,lv1,fn7,no
35,admin.,single,university.degree,no,yes,no,telephone,may,tue,3,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,3.3894,38.8872,vg11,lv1,fn2,no
49,management,married,university.degree,no,yes,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1.3874,50.8872,vg1,lv1,fn10,no
55,management,divorced,university.degree,no,yes,no,telephone,may,tue,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,5.3914,60.8872,vg5,lv1,fn10,no
32,admin.,divorced,high.school,no,no,no,cellular,nov,tue,1,999,1,failure,-0.1,93.2,-42.0,4.1530000000000005,5195.8,2.3874,33.8872,vg12,lv2,fn4,no
31,technician,single,basic.9y,no,yes,no,telephone,may,thu,5,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,5.3914,36.8872,vg11,lv1,fn24,no
33,admin.,single,university.degree,no,yes,no,cellular,sep,thu,1,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,1.3874,34.8872,vg11,lv1,fn2,no
24,management,single,university.degree,no,yes,no,cellular,may,thu,4,999,1,failure,-1.8,92.893,-46.2,1.27,5099.1,5.3904,28.8872,vg2,lv2,fn10,no
35,technician,married,professional.course,no,yes,no,telephone,may,wed,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,3.3894,38.8872,vg3,lv1,fn14,no
50,housemaid,married,unknown,no,yes,no,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,2.3884,52.8872,vg1,lv1,fn25,no
53,technician,married,professional.course,unknown,yes,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,1.3874,54.8872,vg1,lv1,fn14,no
37,technician,married,university.degree,no,yes,yes,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,2.3884,39.8872,vg4,lv1,fn21,no
35,admin.,married,professional.course,no,yes,yes,cellular,jul,tue,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,2.3884,37.8872,vg3,lv1,fn26,no
30,admin.,single,university.degree,no,no,no,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,2.3884,32.8872,vg2,lv1,fn2,no
44,admin.,divorced,university.degree,no,yes,no,cellular,aug,wed,11,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,11.3974,55.8872,vg6,lv1,fn2,no
20,student,single,high.school,no,no,no,cellular,aug,thu,2,999,0,nonexistent,-2.9,92.201,-31.4,0.873,5076.2,2.3884,22.8872,vg2,lv1,fn19,no
47,retired,single,basic.6y,unknown,no,no,cellular,jul,mon,5,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,5.3914,52.8872,vg9,lv1,fn27,no
56,technician,married,basic.4y,no,yes,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1.3874,57.8872,vg1,lv1,fn28,no
46,admin.,married,high.school,no,no,no,cellular,aug,thu,17,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,17.4034,63.8872,vg10,lv1,fn4,no
44,blue-collar,married,basic.4y,unknown,yes,yes,telephone,jun,mon,4,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,4.3904,48.8872,vg10,lv1,fn13,no
55,admin.,married,university.degree,no,no,no,cellular,nov,tue,3,999,0,nonexistent,-0.1,93.2,-42.0,4.1530000000000005,5195.8,3.3894,58.8872,vg1,lv1,fn2,no
28,services,single,high.school,no,yes,yes,telephone,sep,fri,1,999,0,nonexistent,-1.1,94.199,-37.5,0.878,4963.6,1.3874,29.8872,vg2,lv1,fn6,no
33,technician,married,high.school,no,no,no,cellular,aug,thu,4,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,4.3904,37.8872,vg3,lv1,fn29,no
31,housemaid,single,high.school,no,yes,no,cellular,jul,wed,4,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,4.3904,35.8872,vg11,lv1,fn30,no
55,management,divorced,university.degree,no,yes,no,cellular,sep,thu,1,999,1,failure,-1.1,94.199,-37.5,0.884,4963.6,2.3874,56.8872,vg5,lv2,fn10,yes
32,technician,single,university.degree,no,yes,no,cellular,aug,wed,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,3.3894,35.8872,vg11,lv1,fn21,no
35,housemaid,divorced,basic.9y,no,yes,no,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,1.3874,36.8872,vg12,lv1,fn31,no
45,technician,divorced,university.degree,no,yes,yes,telephone,jun,thu,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,3.3894,48.8872,vg6,lv1,fn21,no
39,admin.,single,university.degree,no,yes,no,cellular,may,fri,4,999,1,failure,-1.8,92.893,-46.2,1.3130000000000002,5099.1,5.3904,43.8872,vg8,lv2,fn2,no
36,admin.,single,university.degree,no,no,yes,cellular,may,wed,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,2.3884,38.8872,vg8,lv1,fn2,yes
29,services,divorced,high.school,no,yes,no,telephone,may,tue,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,3.3894,32.8872,vg13,lv1,fn6,no
46,admin.,divorced,university.degree,no,yes,no,telephone,may,wed,4,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,4.3904,50.8872,vg6,lv1,fn2,no
34,self-employed,married,basic.9y,unknown,yes,no,cellular,aug,mon,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,3.3894,37.8872,vg3,lv1,fn32,no
35,blue-collar,married,unknown,no,no,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,2.3884,37.8872,vg3,lv1,fn33,no
44,blue-collar,married,basic.4y,no,yes,no,telephone,jun,mon,25,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,25.4114,69.8872,vg10,lv1,fn13,no
37,admin.,divorced,university.degree,no,no,no,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,2.3884,39.8872,vg14,lv1,fn2,no
46,admin.,married,university.degree,unknown,yes,no,cellular,aug,wed,9,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,9.3954,55.8872,vg10,lv1,fn2,no
33,services,married,high.school,no,no,no,telephone,jun,fri,4,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,4.3904,37.8872,vg3,lv1,fn6,no
48,admin.,divorced,high.school,unknown,yes,yes,cellular,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.2990000000000002,5099.1,1.3874,49.8872,vg6,lv1,fn4,yes
53,blue-collar,married,basic.4y,unknown,no,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,1.3874,54.8872,vg1,lv1,fn13,no
29,unemployed,married,university.degree,no,unknown,unknown,cellular,jul,thu,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,2.3884,31.8872,vg7,lv1,fn3,no
39,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,tue,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,3.3894,42.8872,vg4,lv1,fn7,no
45,admin.,married,university.degree,no,yes,no,cellular,jul,wed,1,999,0,nonexistent,-2.9,92.469,-33.6,1.029,5076.2,1.3874,46.8872,vg10,lv1,fn2,no
48,retired,married,unknown,unknown,yes,no,telephone,jun,fri,5,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,5.3914,53.8872,vg10,lv1,fn34,no
49,housemaid,married,basic.4y,unknown,no,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,1.3874,50.8872,vg1,lv1,fn35,no
62,retired,married,university.degree,no,yes,no,cellular,nov,thu,1,1,6,success,-1.1,94.767,-50.8,1.031,4963.6,1006.3864,63.8872,vg1,lv6,fn36,yes
39,services,divorced,high.school,no,yes,no,cellular,nov,wed,3,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,4.3894,42.8872,vg14,lv2,fn6,no
60,management,married,university.degree,no,yes,yes,telephone,sep,thu,1,999,0,nonexistent,-3.4,92.379,-29.8,0.809,5017.5,1.3874,61.8872,vg1,lv1,fn10,no
50,management,divorced,university.degree,no,no,no,cellular,nov,fri,1,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,2.3874,51.8872,vg5,lv2,fn10,no
54,blue-collar,married,basic.9y,unknown,yes,no,cellular,aug,wed,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,4.3904,58.8872,vg1,lv1,fn7,no
42,self-employed,married,university.degree,no,no,yes,cellular,aug,fri,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,3.3894,45.8872,vg10,lv1,fn37,no
33,blue-collar,married,basic.9y,no,yes,yes,cellular,may,mon,1,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,1.3874,34.8872,vg3,lv1,fn7,no
40,admin.,single,high.school,no,yes,no,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,1.3874,41.8872,vg8,lv1,fn4,no
44,services,divorced,high.school,no,yes,no,cellular,jul,mon,5,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,5.3914,49.8872,vg6,lv1,fn6,no
49,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,2.3884,51.8872,vg1,lv1,fn7,no
29,blue-collar,married,basic.6y,no,yes,no,cellular,may,thu,6,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,6.3924,35.8872,vg7,lv1,fn38,no
51,admin.,married,basic.6y,no,no,yes,cellular,may,mon,2,999,1,failure,-1.8,92.893,-46.2,1.2990000000000002,5099.1,3.3884,53.8872,vg1,lv2,fn39,no
31,services,married,basic.9y,no,no,no,cellular,apr,mon,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,3.3894,34.8872,vg3,lv1,fn40,no
36,admin.,married,university.degree,no,yes,no,cellular,nov,wed,2,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,3.3884,38.8872,vg4,lv2,fn2,no
31,blue-collar,married,basic.9y,no,no,no,telephone,jun,thu,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,2.3884,33.8872,vg3,lv1,fn7,no
56,services,single,basic.4y,unknown,yes,no,cellular,may,mon,2,999,0,nonexistent,-1.8,92.893,-46.2,1.2990000000000002,5099.1,2.3884,58.8872,vg15,lv1,fn41,no
33,admin.,single,university.degree,no,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1.3874,34.8872,vg11,lv1,fn2,no
28,services,single,high.school,no,yes,no,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1.3874,29.8872,vg2,lv1,fn6,no
46,admin.,married,high.school,no,no,no,cellular,jul,mon,10,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,10.3964,56.8872,vg10,lv1,fn4,no
25,admin.,single,unknown,no,yes,no,telephone,nov,mon,4,999,0,nonexistent,-3.4,92.649,-30.1,0.7140000000000001,5017.5,4.3904,29.8872,vg2,lv1,fn8,no
50,management,married,university.degree,no,no,no,cellular,nov,thu,1,999,1,failure,-0.1,93.2,-42.0,4.0760000000000005,5195.8,2.3874,51.8872,vg1,lv2,fn10,no
48,entrepreneur,married,basic.4y,no,no,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,1.3874,49.8872,vg10,lv1,fn42,no
32,admin.,divorced,high.school,no,no,no,cellular,may,fri,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,1.3874,33.8872,vg12,lv1,fn4,no
56,admin.,married,university.degree,unknown,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,1.3874,57.8872,vg1,lv1,fn2,no
25,self-employed,single,university.degree,no,yes,no,cellular,sep,mon,1,999,0,nonexistent,-3.4,92.379,-29.8,0.797,5017.5,1.3874,26.8872,vg2,lv1,fn37,no
41,management,married,university.degree,no,yes,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,1.3874,42.8872,vg10,lv1,fn10,no
39,self-employed,married,basic.6y,no,yes,no,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1.3874,40.8872,vg4,lv1,fn43,no
50,management,divorced,university.degree,no,yes,no,cellular,nov,fri,1,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,2.3874,51.8872,vg5,lv2,fn10,no
46,admin.,married,university.degree,no,yes,no,telephone,apr,wed,8,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,9.3944,54.8872,vg10,lv2,fn2,no
63,management,married,unknown,no,yes,no,cellular,sep,fri,2,999,2,failure,-3.4,92.379,-29.8,0.8029999999999999,5017.5,4.3884,65.8872,vg1,lv7,fn44,no
31,self-employed,married,basic.9y,no,no,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1.3874,32.8872,vg3,lv1,fn32,no
53,admin.,married,university.degree,no,yes,yes,cellular,dec,mon,1,999,0,nonexistent,-3.0,92.713,-33.0,0.706,5023.5,1.3874,54.8872,vg1,lv1,fn2,no
27,student,single,university.degree,no,no,no,cellular,may,wed,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,1.3874,28.8872,vg2,lv1,fn16,no
37,admin.,married,university.degree,unknown,yes,no,telephone,may,mon,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,3.3894,40.8872,vg4,lv1,fn2,no
34,blue-collar,married,unknown,no,yes,no,cellular,may,wed,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,2.3874,35.8872,vg3,lv2,fn33,no
26,admin.,single,high.school,unknown,yes,no,cellular,jul,thu,6,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,6.3924,32.8872,vg2,lv1,fn4,no
54,admin.,married,basic.9y,no,no,no,cellular,nov,mon,2,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,2.3884,56.8872,vg1,lv1,fn45,no
45,housemaid,married,university.degree,unknown,yes,no,cellular,jul,fri,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,2.3884,47.8872,vg10,lv1,fn46,no
41,services,divorced,high.school,no,no,yes,cellular,jul,wed,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,2.3884,43.8872,vg6,lv1,fn6,no
55,technician,married,unknown,no,no,no,cellular,jul,fri,8,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,8.3944,63.8872,vg1,lv1,fn47,no
29,blue-collar,single,professional.course,no,yes,no,telephone,may,mon,7,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,7.3934,36.8872,vg2,lv1,fn48,no
30,management,single,university.degree,no,yes,no,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,1.3874,31.8872,vg2,lv1,fn10,no
30,blue-collar,married,basic.4y,no,yes,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1.3874,31.8872,vg7,lv1,fn13,no
35,blue-collar,single,high.school,no,no,no,cellular,nov,wed,2,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,3.3884,37.8872,vg11,lv2,fn17,no
59,services,divorced,high.school,no,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,1.3874,60.8872,vg5,lv1,fn6,no
27,technician,married,professional.course,no,no,no,cellular,may,tue,6,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,7.3924,33.8872,vg7,lv2,fn14,no
26,services,married,high.school,no,no,yes,telephone,jun,wed,11,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,11.3974,37.8872,vg7,lv1,fn6,no
35,unemployed,married,high.school,no,yes,no,cellular,aug,mon,1,6,1,success,-1.7,94.027,-38.3,0.904,4991.6,168.0531,36.8872,vg3,lv8,fn22,yes
58,management,married,university.degree,unknown,no,no,telephone,may,wed,5,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,5.3914,63.8872,vg1,lv1,fn10,no
37,blue-collar,married,basic.4y,no,no,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,1.3874,38.8872,vg4,lv1,fn13,no
34,unemployed,married,basic.6y,unknown,no,yes,telephone,jun,fri,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,1.3874,35.8872,vg3,lv1,fn49,no
60,self-employed,single,basic.9y,unknown,yes,no,telephone,jun,fri,5,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,5.3914,65.8872,vg15,lv1,fn32,no
36,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,3,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,3.3894,39.8872,vg4,lv1,fn7,no
52,retired,married,basic.4y,no,yes,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,1.3874,53.8872,vg1,lv1,fn1,no
48,technician,married,professional.course,no,yes,no,telephone,may,mon,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,2.3884,50.8872,vg10,lv1,fn14,no
18,student,single,basic.4y,no,yes,no,cellular,jun,tue,1,999,0,nonexistent,-1.7,94.055,-39.8,0.737,4991.6,1.3874,19.8872,vg2,lv1,fn50,no
27,admin.,single,university.degree,no,yes,no,cellular,aug,tue,1,6,1,success,-2.9,92.201,-31.4,0.883,5076.2,168.0531,28.8872,vg2,lv8,fn2,no
31,blue-collar,married,professional.course,unknown,no,no,cellular,jul,fri,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,3.3894,34.8872,vg3,lv1,fn48,no
40,entrepreneur,married,basic.9y,no,no,no,telephone,may,wed,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,3.3894,43.8872,vg4,lv1,fn51,no
29,admin.,divorced,high.school,no,yes,yes,cellular,may,mon,2,999,1,failure,-1.8,92.893,-46.2,1.2990000000000002,5099.1,3.3884,31.8872,vg13,lv2,fn4,no
42,blue-collar,married,basic.4y,no,unknown,unknown,cellular,jul,fri,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,1.3874,43.8872,vg10,lv1,fn13,no
